FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,BIRTHDATE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,GAMES_PLAYED_FLAG,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG
Dominick,Barlow,Dominick Barlow,2003-05-26T00:00:00,                                   ,USA,6-9,215,1,Forward,Active,1610612759,Spurs,2022,2023,Y,Y,Undrafted,Undrafted,N
Harrison,Barnes,Harrison Barnes,1992-05-30T00:00:00,North Carolina,USA,6-8,225,11,Forward,Active,1610612758,Kings,2012,2023,N,Y,1,7,N
Scottie,Barnes,Scottie Barnes,2001-08-01T00:00:00,Florida State,USA,6-8,225,2,Forward,Active,1610612761,Raptors,2021,2023,N,Y,1,4,N
RJ,Barrett,RJ Barrett,2000-06-14T00:00:00,Duke,Canada,6-6,214,4,Forward-Guard,Active,1610612752,Knicks,2019,2023,N,Y,1,3,N
Will,Barton,Will Barton,1991-01-06T00:00:00,Memphis,USA,6-5,181,12,Guard,Inactive,1610612761,Raptors,2012,2022,Y,Y,2,40,N
Charles,Bassey,Charles Bassey,2000-10-28T00:00:00,Western Kentucky,Nigeria,6-9,230,2,Center-Forward,Active,1610612759,Spurs,2021,2023,Y,Y,2,53,N
Keita,Bates-Diop,Keita Bates-Diop,1996-01-23T00:00:00,Ohio State,USA,6-8,229,5,Forward,Active,1610612756,Suns,2018,2023,Y,Y,2,48,N
Nicolas,Batum,Nicolas Batum,1988-12-14T00:00:00,Le Mans,France,6-8,230,15,Guard-Forward,Active,1610612746,Clippers,2008,2023,N,Y,1,25,N
Darius,Bazley,Darius Bazley,2000-06-12T00:00:00,Princeton HS (OH),USA,6-9,216,4,Forward,Active,1610612751,Nets,2019,2023,N,Y,1,23,N
Bradley,Beal,Bradley Beal,1993-06-28T00:00:00,Florida,USA,6-4,207,11,Guard,Active,1610612756,Suns,2012,2023,N,Y,1,3,N
Malik,Beasley,Malik Beasley,1996-11-26T00:00:00,Florida State,USA,6-4,187,7,Guard,Active,1610612749,Bucks,2016,2023,Y,Y,1,19,N
MarJon,Beauchamp,MarJon Beauchamp,2000-10-12T00:00:00,NBA G League Ignite,USA,6-7,199,1,Forward,Active,1610612749,Bucks,2021,2023,Y,Y,1,24,N
Davis,Bertans,Davis Bertans,1992-11-12T00:00:00,Baskonia,Latvia,6-10,225,7,Forward,Active,1610612760,Thunder,2016,2023,Y,Y,2,42,N
Patrick,Beverley,Patrick Beverley,1988-07-12T00:00:00,Arkansas,USA,6-2,180,11,Guard,Active,1610612755,76ers,2012,2023,Y,Y,2,42,N
Saddiq,Bey,Saddiq Bey,1999-04-09T00:00:00,Villanova,USA,6-7,215,3,Forward,Active,1610612737,Hawks,2020,2023,N,Y,1,19,N
Khem,Birch,Khem Birch,1992-09-28T00:00:00,UNLV,Canada,6-8,233,6,Center,Active,1610612759,Spurs,2017,2023,Y,Y,Undrafted,Undrafted,N
Goga,Bitadze,Goga Bitadze,1999-07-20T00:00:00,Mega Basket,Georgia,6-11,250,4,Center-Forward,Active,1610612753,Magic,2019,2023,Y,Y,1,18,N
Bismack,Biyombo,Bismack Biyombo,1992-08-28T00:00:00,Baloncesto Fuenlabrada,DRC,6-8,255,13,Center,Inactive,1610612756,Suns,2011,2022,N,Y,1,7,N
Buddy,Boeheim,Buddy Boeheim,1999-11-11T00:00:00,Syracuse,USA,6-6,205,1,Forward,Active,1610612765,Pistons,2022,2023,Y,Y,Undrafted,Undrafted,N
Bogdan,Bogdanovic,Bogdan Bogdanovic,1992-08-18T00:00:00,Fenerbahce,Serbia,6-5,225,6,Guard,Active,1610612737,Hawks,2017,2023,N,Y,1,27,N
Bojan,Bogdanovic,Bojan Bogdanovic,1989-04-18T00:00:00,Fenerbahce,Croatia,6-7,226,9,Forward,Active,1610612765,Pistons,2014,2023,N,Y,2,31,N
Bol,Bol,Bol Bol,1999-11-16T00:00:00,Oregon,Sudan,7-2,220,4,Center-Forward,Active,1610612756,Suns,2019,2023,Y,Y,2,44,N
Leandro,Bolmaro,Leandro Bolmaro,2000-09-11T00:00:00,,Argentina,6-6,200,2,Forward,Inactive,0,,2021,2022,Y,Y,1,23,N
Devin,Booker,Devin Booker,1996-10-30T00:00:00,Kentucky,USA,6-5,206,8,Guard,Active,1610612756,Suns,2015,2023,N,Y,1,13,N
Brandon,Boston Jr.,Brandon Boston Jr.,2001-11-28T00:00:00,Kentucky,USA,6-6,188,2,Guard,Active,1610612746,Clippers,2021,2023,Y,Y,2,51,N
Chris,Boucher,Chris Boucher,1993-01-11T00:00:00,Oregon,Saint Lucia,6-9,200,6,Forward-Center,Active,1610612761,Raptors,2017,2023,Y,Y,Undrafted,Undrafted,N
James,Bouknight,James Bouknight,2000-09-18T00:00:00,Connecticut,USA,6-4,190,2,Guard,Active,1610612766,Hornets,2021,2023,Y,Y,1,11,N
Jamaree,Bouyea,Jamaree Bouyea,1999-06-27T00:00:00,San Francisco,USA,6-2,180,2,Guard,Inactive,0,,2022,2022,Y,Y,Undrafted,Undrafted,N
Tony,Bradley,Tony Bradley,1998-01-08T00:00:00,North Carolina,USA,6-11,248,6,Center-Forward,Inactive,0,,2017,2022,Y,Y,1,28,N
Malaki,Branham,Malaki Branham,2003-05-12T00:00:00,Ohio State,USA,6-4,180,1,Forward,Active,1610612759,Spurs,2022,2023,Y,Y,1,20,N
Jarrell,Brantley,Jarrell Brantley,1996-06-07T00:00:00,College of Charleston,USA,6-5,250,3,Forward,Inactive,0,,2019,2022,Y,Y,2,50,N
Christian,Braun,Christian Braun,2001-04-17T00:00:00,Kansas,USA,6-6,220,1,Guard,Active,1610612743,Nuggets,2022,2023,N,Y,1,21,N
Mikal,Bridges,Mikal Bridges,1996-08-30T00:00:00,Villanova,USA,6-6,209,5,Guard-Forward,Active,1610612751,Nets,2018,2023,N,Y,1,10,N
Oshae,Brissett,Oshae Brissett,1998-06-20T00:00:00,Syracuse,Canada,6-7,210,4,Forward-Guard,Active,1610612738,Celtics,2019,2023,Y,Y,Undrafted,Undrafted,N
Malcolm,Brogdon,Malcolm Brogdon,1992-12-11T00:00:00,Virginia,USA,6-4,229,7,Guard,Active,1610612757,Trail Blazers,2016,2023,N,Y,2,36,N
Dillon,Brooks,Dillon Brooks,1996-01-22T00:00:00,Oregon,Canada,6-6,225,6,Guard-Forward,Active,1610612745,Rockets,2017,2023,N,Y,2,45,N
Bruce,Brown,Bruce Brown,1996-08-15T00:00:00,Miami,USA,6-4,202,5,Guard-Forward,Active,1610612754,Pacers,2018,2023,Y,Y,2,42,N
Jaylen,Brown,Jaylen Brown,1996-10-24T00:00:00,California,USA,6-6,223,7,Guard-Forward,Active,1610612738,Celtics,2016,2023,N,Y,1,3,N
Kendall,Brown,Kendall Brown,2003-05-11T00:00:00,Baylor,USA,6-7,205,1,Guard,Active,1610612754,Pacers,2022,2023,Y,Y,2,48,N
Moses,Brown,Moses Brown,1999-10-13T00:00:00,UCLA,USA,7-2,245,4,Center,Active,1610612757,Trail Blazers,2019,2023,Y,Y,Undrafted,Undrafted,N
Sterling,Brown,Sterling Brown,1995-02-10T00:00:00,Southern Methodist,USA,6-5,219,6,Guard-Forward,Inactive,0,,2017,2022,Y,Y,2,46,N
Greg,Brown III,Greg Brown III,2001-09-01T00:00:00,Texas,USA,6-7,206,2,Forward,Active,1610612742,Mavericks,2021,2023,Y,Y,2,43,N
Troy,Brown Jr.,Troy Brown Jr.,1999-07-28T00:00:00,Oregon,USA,6-7,215,5,Guard-Forward,Active,1610612750,Timberwolves,2018,2023,Y,Y,1,15,N
Jalen,Brunson,Jalen Brunson,1996-08-31T00:00:00,Villanova,USA,6-2,190,5,Guard,Active,1610612752,Knicks,2018,2023,N,Y,2,33,N
Thomas,Bryant,Thomas Bryant,1997-07-31T00:00:00,Indiana,USA,6-10,248,6,Center-Forward,Active,1610612748,Heat,2017,2023,Y,Y,2,42,N
Reggie,Bullock,Reggie Bullock,1991-03-16T00:00:00,North Carolina,USA,6-6,205,10,Guard-Forward,Active,1610612745,Rockets,2013,2023,Y,Y,1,25,N
Alec,Burks,Alec Burks,1991-07-20T00:00:00,Colorado,USA,6-6,214,12,Guard,Active,1610612765,Pistons,2011,2023,Y,Y,1,12,N
Deonte,Burton,Deonte Burton,1994-01-31T00:00:00,Iowa State,USA,6-4,240,3,Guard-Forward,Active,1610612760,Thunder,2018,2023,Y,Y,Undrafted,Undrafted,N
Jared,Butler,Jared Butler,2000-08-25T00:00:00,Baylor,USA,6-3,193,2,Guard,Active,1610612764,Wizards,2021,2023,Y,Y,2,40,N
Jimmy,Butler,Jimmy Butler,1989-09-14T00:00:00,Marquette,USA,6-7,230,12,Forward,Active,1610612748,Heat,2011,2023,N,Y,1,30,N
John,Butler Jr.,John Butler Jr.,2002-12-04T00:00:00,Florida State,USA,7-0,190,1,Forward,Active,1610612757,Trail Blazers,2022,2023,Y,Y,Undrafted,Undrafted,N
Jamal,Cain,Jamal Cain,1999-03-20T00:00:00,Oakland,USA,6-6,191,1,Forward,Active,1610612748,Heat,2022,2023,Y,Y,Undrafted,Undrafted,N
Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,1993-02-18T00:00:00,Georgia,USA,6-5,204,10,Guard,Active,1610612743,Nuggets,2013,2023,N,Y,1,8,N
Facundo,Campazzo,Facundo Campazzo,1991-03-23T00:00:00,,Argentina,5-10,195,3,Guard,Inactive,0,,2020,2022,N,Y,Undrafted,Undrafted,N
Vlatko,Cancar,Vlatko Cancar,1997-04-10T00:00:00,San Pablo Burgos,Slovenia,6-8,236,4,Forward,Active,1610612743,Nuggets,2019,2023,Y,Y,2,49,N
Clint,Capela,Clint Capela,1994-05-18T00:00:00,Elan Chalon,Switzerland,6-10,256,9,Center,Active,1610612737,Hawks,2014,2023,Y,Y,1,25,N
Vernon,Carey Jr.,Vernon Carey Jr.,2001-02-25T00:00:00,Duke,USA,6-10,270,4,Center,Inactive,1610612762,Jazz,2020,2022,Y,Y,2,32,N
Jevon,Carter,Jevon Carter,1995-09-14T00:00:00,West Virginia,USA,6-1,200,5,Guard,Active,1610612741,Bulls,2018,2023,Y,Y,2,32,N
Wendell,Carter Jr.,Wendell Carter Jr.,1999-04-16T00:00:00,Duke,USA,6-10,270,5,Center-Forward,Active,1610612753,Magic,2018,2023,N,Y,1,7,N
Michael,Carter-Williams,Michael Carter-Williams,1991-10-10T00:00:00,Syracuse,USA,6-5,190,10,Guard,Inactive,1610612753,Magic,2013,2022,N,Y,1,11,N
Alex,Caruso,Alex Caruso,1994-02-28T00:00:00,Texas A&M,USA,6-5,186,6,Guard,Active,1610612741,Bulls,2017,2023,Y,Y,Undrafted,Undrafted,N
Julian,Champagnie,Julian Champagnie,2001-06-29T00:00:00,St. John's,USA,6-7,217,1,Forward,Active,1610612759,Spurs,2022,2023,Y,Y,Undrafted,Undrafted,N
Justin,Champagnie,Justin Champagnie,2001-06-29T00:00:00,Pittsburgh,USA,6-6,206,2,Guard-Forward,Active,1610612748,Heat,2021,2023,Y,Y,Undrafted,Undrafted,N
Kennedy,Chandler,Kennedy Chandler,2002-09-16T00:00:00,Tennessee,USA,5-11,170,1,Guard,Inactive,0,,2022,2022,Y,Y,2,38,N
Max,Christie,Max Christie,2003-02-10T00:00:00,Michigan State,USA,6-5,190,1,Guard,Active,1610612747,Lakers,2022,2023,Y,Y,2,35,N
Josh,Christopher,Josh Christopher,2001-12-08T00:00:00,Arizona State,USA,6-4,215,3,Guard,Inactive,1610612745,Rockets,2021,2022,Y,Y,1,24,N
Brandon,Clarke,Brandon Clarke,1996-09-19T00:00:00,Gonzaga,Canada,6-8,215,4,Forward,Active,1610612763,Grizzlies,2019,2023,N,Y,1,21,N
Jordan,Clarkson,Jordan Clarkson,1992-06-07T00:00:00,Missouri,USA,6-5,194,9,Guard,Active,1610612762,Jazz,2014,2023,Y,Y,2,46,N
Nic,Claxton,Nic Claxton,1999-04-17T00:00:00,Georgia,USA,6-11,215,4,Center,Active,1610612751,Nets,2019,2023,Y,Y,2,31,N
Amir,Coffey,Amir Coffey,1997-06-17T00:00:00,Minnesota,USA,6-7,210,4,Guard-Forward,Active,1610612746,Clippers,2019,2023,Y,Y,Undrafted,Undrafted,N
John,Collins,John Collins,1997-09-23T00:00:00,Wake Forest,USA,6-9,226,6,Forward-Center,Active,1610612762,Jazz,2017,2023,N,Y,1,19,N
Zach,Collins,Zach Collins,1997-11-19T00:00:00,Gonzaga,USA,6-11,250,5,Forward-Center,Active,1610612759,Spurs,2017,2023,Y,Y,1,10,N
Mike,Conley,Mike Conley,1987-10-11T00:00:00,Ohio State,USA,6-1,175,16,Guard,Active,1610612750,Timberwolves,2007,2023,N,Y,1,4,N
Pat,Connaughton,Pat Connaughton,1993-01-06T00:00:00,Notre Dame,USA,6-5,209,8,Guard,Active,1610612749,Bucks,2015,2023,N,Y,2,41,N
Xavier,Cooks,Xavier Cooks,1995-08-19T00:00:00,Winthrop,Australia,6-8,183,1,Forward,Active,1610612764,Wizards,2022,2023,N,Y,Undrafted,Undrafted,N
Robert,Covington,Robert Covington,1990-12-14T00:00:00,Tennessee State,USA,6-7,209,10,Forward,Active,1610612746,Clippers,2013,2023,Y,Y,Undrafted,Undrafted,N
Torrey,Craig,Torrey Craig,1990-12-19T00:00:00,South Carolina Upstate,USA,6-7,221,6,Forward,Active,1610612741,Bulls,2017,2023,Y,Y,Undrafted,Undrafted,N
Jae,Crowder,Jae Crowder,1990-07-06T00:00:00,Marquette,USA,6-6,235,11,Forward,Active,1610612749,Bucks,2012,2023,Y,Y,2,34,N
Jarrett,Culver,Jarrett Culver,1999-02-20T00:00:00,Texas Tech,USA,6-6,195,4,Guard-Forward,Inactive,0,,2019,2022,Y,Y,1,6,N
Cade,Cunningham,Cade Cunningham,2001-09-25T00:00:00,Oklahoma State,USA,6-7,220,2,Guard,Active,1610612765,Pistons,2021,2023,N,Y,1,1,N
Seth,Curry,Seth Curry,1990-08-23T00:00:00,Duke,USA,6-1,185,9,Guard,Active,1610612742,Mavericks,2013,2023,Y,Y,Undrafted,Undrafted,N
Stephen,Curry,Stephen Curry,1988-03-14T00:00:00,Davidson,USA,6-2,185,14,Guard,Active,1610612744,Warriors,2009,2023,N,Y,1,7,Y
Dyson,Daniels,Dyson Daniels,2003-03-17T00:00:00,NBA G League Ignite,Australia,6-7,199,1,Guard,Active,1610612740,Pelicans,2021,2023,Y,Y,1,8,N
Anthony,Davis,Anthony Davis,1993-03-11T00:00:00,Kentucky,USA,6-10,253,11,Forward-Center,Active,1610612747,Lakers,2012,2023,N,Y,1,1,Y
Johnny,Davis,Johnny Davis,2002-02-27T00:00:00,Wisconsin,USA,6-4,195,1,Guard,Active,1610612764,Wizards,2022,2023,Y,Y,1,10,N
Terence,Davis,Terence Davis,1997-05-16T00:00:00,Mississippi,USA,6-4,201,5,Guard,Inactive,1610612758,Kings,2019,2022,N,Y,Undrafted,Undrafted,N
JD,Davison,JD Davison,2002-10-03T00:00:00,Alabama,USA,6-1,195,1,Guard,Active,1610612738,Celtics,2022,2023,Y,Y,2,53,N
Darius,Days,Darius Days,1999-10-20T00:00:00,Louisiana State,USA,6-7,245,1,Forward,Active,1610612745,Rockets,2022,2023,Y,Y,Undrafted,Undrafted,N
DeMar,DeRozan,DeMar DeRozan,1989-08-07T00:00:00,Southern California,USA,6-6,220,14,Guard-Forward,Active,1610612741,Bulls,2009,2023,N,Y,1,9,N
Dewayne,Dedmon,Dewayne Dedmon,1989-08-12T00:00:00,Southern California,USA,6-10,245,11,Center,Inactive,1610612755,76ers,2013,2022,Y,Y,Undrafted,Undrafted,N
Matthew,Dellavedova,Matthew Dellavedova,1990-09-08T00:00:00,,Australia,6-3,200,10,Guard,Inactive,1610612758,Kings,2013,2022,N,Y,Undrafted,Undrafted,N
Donte,DiVincenzo,Donte DiVincenzo,1997-01-31T00:00:00,Villanova,USA,6-4,203,5,Guard,Active,1610612752,Knicks,2018,2023,Y,Y,1,17,N
Moussa,Diabate,Moussa Diabate,2002-01-21T00:00:00,Michigan,France,6-10,210,1,Forward,Active,1610612746,Clippers,2022,2023,Y,Y,2,43,N
Mamadi,Diakite,Mamadi Diakite,1997-01-21T00:00:00,Virginia,Guinea,6-9,228,4,Forward,Inactive,1610612739,Cavaliers,2020,2022,Y,Y,Undrafted,Undrafted,N
Hamidou,Diallo,Hamidou Diallo,1998-07-31T00:00:00,Kentucky,USA,6-5,202,6,Guard,Inactive,1610612765,Pistons,2018,2022,Y,Y,2,45,N
Gorgui,Dieng,Gorgui Dieng,1990-01-18T00:00:00,Louisville,Senegal,6-10,248,11,Center,Inactive,1610612759,Spurs,2013,2022,N,Y,1,21,N
Ousmane,Dieng,Ousmane Dieng,2003-05-21T00:00:00,New Zealand Breakers,France,6-9,185,1,Forward,Active,1610612760,Thunder,2022,2023,Y,Y,1,11,N
Spencer,Dinwiddie,Spencer Dinwiddie,1993-04-06T00:00:00,Colorado,USA,6-5,215,9,Guard,Active,1610612751,Nets,2014,2023,Y,Y,2,38,N
Luka,Doncic,Luka Doncic,1999-02-28T00:00:00,Real Madrid,Slovenia,6-7,230,5,Forward-Guard,Active,1610612742,Mavericks,2018,2023,N,Y,1,3,N
Tyler,Dorsey,Tyler Dorsey,1996-02-18T00:00:00,Oregon,USA,6-4,180,3,Guard,Inactive,0,,2017,2022,Y,Y,2,41,N
Luguentz,Dort,Luguentz Dort,1999-04-19T00:00:00,Arizona State,Canada,6-4,220,4,Guard,Active,1610612760,Thunder,2019,2023,Y,Y,Undrafted,Undrafted,N
Ayo,Dosunmu,Ayo Dosunmu,2000-01-17T00:00:00,Illinois,USA,6-5,200,2,Guard,Active,1610612741,Bulls,2021,2023,N,Y,2,38,N
Devon,Dotson,Devon Dotson,1999-08-02T00:00:00,Kansas,USA,6-1,185,3,Guard,Inactive,0,,2020,2022,Y,Y,Undrafted,Undrafted,N
Jeff,Dowtin Jr.,Jeff Dowtin Jr.,1997-05-10T00:00:00,Rhode Island,USA,6-3,177,2,Guard,Active,1610612761,Raptors,2021,2023,Y,Y,Undrafted,Undrafted,N
PJ,Dozier,PJ Dozier,1996-10-25T00:00:00,South Carolina,USA,6-6,205,7,Guard-Forward,Inactive,1610612758,Kings,2017,2022,Y,Y,Undrafted,Undrafted,N
Goran,Dragic,Goran Dragic,1986-05-06T00:00:00,Union Olimpija,Slovenia,6-4,190,16,Guard,Inactive,1610612749,Bucks,2008,2022,N,Y,2,45,N
Andre,Drummond,Andre Drummond,1993-08-10T00:00:00,Connecticut,USA,6-11,279,11,Center,Active,1610612741,Bulls,2012,2023,N,Y,1,9,N
Chris,Duarte,Chris Duarte,1997-06-13T00:00:00,Oregon,Dominican Republic,6-5,190,2,Guard,Active,1610612758,Kings,2021,2023,Y,Y,1,13,N
David,Duke Jr.,David Duke Jr.,1999-10-13T00:00:00,Providence,USA,6-4,204,2,Guard,Active,1610612755,76ers,2021,2023,Y,Y,Undrafted,Undrafted,N
Kris,Dunn,Kris Dunn,1994-03-18T00:00:00,Providence,USA,6-3,205,7,Guard,Active,1610612762,Jazz,2016,2023,Y,Y,1,5,N
Kevin,Durant,Kevin Durant,1988-09-29T00:00:00,Texas,USA,6-10,240,15,Forward,Active,1610612756,Suns,2007,2023,N,Y,1,2,Y
Jalen,Duren,Jalen Duren,2003-11-18T00:00:00,Memphis,USA,6-11,250,1,Center,Active,1610612765,Pistons,2022,2023,N,Y,1,13,N
Tari,Eason,Tari Eason,2001-05-10T00:00:00,Louisiana State,USA,6-8,215,1,Forward,Active,1610612745,Rockets,2022,2023,N,Y,1,17,N
Anthony,Edwards,Anthony Edwards,2001-08-05T00:00:00,Georgia,USA,6-4,225,3,Guard,Active,1610612750,Timberwolves,2020,2023,N,Y,1,1,N
Kessler,Edwards,Kessler Edwards,2000-08-09T00:00:00,Pepperdine,USA,6-7,203,2,Forward,Active,1610612758,Kings,2021,2023,Y,Y,2,44,N
Keon,Ellis,Keon Ellis,2000-01-08T00:00:00,Alabama,USA,6-3,175,1,Guard,Active,1610612758,Kings,2022,2023,Y,Y,Undrafted,Undrafted,N
Joel,Embiid,Joel Embiid,1994-03-16T00:00:00,Kansas,Cameroon,7-0,280,7,Center-Forward,Active,1610612755,76ers,2014,2023,N,Y,1,3,N
Drew,Eubanks,Drew Eubanks,1997-02-01T00:00:00,Oregon State,USA,6-10,245,5,Forward-Center,Active,1610612756,Suns,2018,2023,Y,Y,Undrafted,Undrafted,N
Bruno,Fernando,Bruno Fernando,1998-08-15T00:00:00,Maryland,Angola,6-10,240,4,Forward-Center,Active,1610612737,Hawks,2019,2023,Y,Y,2,34,N
Dorian,Finney-Smith,Dorian Finney-Smith,1993-05-04T00:00:00,Florida,USA,6-7,220,7,Forward,Active,1610612751,Nets,2016,2023,N,Y,Undrafted,Undrafted,N
Malachi,Flynn,Malachi Flynn,1998-05-09T00:00:00,San Diego State,USA,6-1,175,3,Guard,Active,1610612761,Raptors,2020,2023,Y,Y,1,29,N
Simone,Fontecchio,Simone Fontecchio,1995-12-09T00:00:00,Baskonia,Italy,6-7,209,1,Forward,Active,1610612762,Jazz,2022,2023,N,Y,Undrafted,Undrafted,N
Bryn,Forbes,Bryn Forbes,1993-07-23T00:00:00,Michigan State,USA,6-2,205,7,Guard,Inactive,0,,2016,2022,Y,Y,Undrafted,Undrafted,N
Trent,Forrest,Trent Forrest,1998-06-12T00:00:00,Florida State,USA,6-4,210,3,Guard,Active,1610612737,Hawks,2020,2023,Y,Y,Undrafted,Undrafted,N
Michael,Foster Jr.,Michael Foster Jr.,2003-01-16T00:00:00,NBA G League Ignite,USA,6-8,250,1,Forward,Active,1610612764,Wizards,2022,2023,Y,Y,Undrafted,Undrafted,N
Evan,Fournier,Evan Fournier,1992-10-29T00:00:00,Poitiers Basket 86,France,6-6,205,11,Guard-Forward,Active,1610612752,Knicks,2012,2023,N,Y,1,20,N
De'Aaron,Fox,De'Aaron Fox,1997-12-20T00:00:00,Kentucky,USA,6-3,185,6,Guard,Active,1610612758,Kings,2017,2023,N,Y,1,5,N
Markelle,Fultz,Markelle Fultz,1998-05-29T00:00:00,Washington,USA,6-4,209,6,Guard,Active,1610612753,Magic,2017,2023,N,Y,1,1,N
Wenyen,Gabriel,Wenyen Gabriel,1997-03-26T00:00:00,Kentucky,South Sudan,6-9,205,4,Forward,Active,1610612738,Celtics,2018,2023,Y,Y,Undrafted,Undrafted,N
